""	"gene"	"gene_coeff"	"taxa"	"taxa_coeff"
"1"	"MT-ND1"	"0.0176181606408439"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae"	"-0.000529124794781782"
"2"	"RPS6"	"0.0564451183537498"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces"	"-0.0353313592574511"
"3"	"RPS18"	"0.0951007237311695"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae"	"-0.300702784027956"
"4"	"RPL7"	"0.11278842197066"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae"	"-0.305356463172942"
"5"	"RPL10"	"0.155164349792163"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus"	"-0.31134330768335"
"6"	"SAT1"	"0.187395485466252"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter"	"-0.0584701767957377"
"7"	"RPS12"	"0.114968979654996"	"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae"	"-0.126146216795296"
"8"	"AFDN"	"0.02451818173842"	"Bacteria;Firmicutes"	"0.0307753751516294"
"9"	"MYO6"	"0.0550696141835805"	"Bacteria;Firmicutes;Bacilli"	"0.0171015494352931"
"10"	"RPL39"	"0.238470926434932"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"0.0671022778654958"
"11"	"RPL12"	"0.149484377467629"	"Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae"	"-0.0557185642898946"
"12"	"SLC39A14"	"0.0511991520989675"	"Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"	"-0.109244171529329"
"13"	"EIF2S3"	"0.300871203561685"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae"	"0.190890095514631"
"14"	"SND1"	"0.0430496657764531"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"0.186918362276544"
"15"	"SLC25A6"	"0.181263296148417"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae"	"0.0736106761221372"
"16"	"UBE3C"	"0.0105535039369675"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"0.0737685382165828"
"17"	"RBM3"	"0.0513377955600137"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae"	"0.141976359417414"
"18"	"GARS"	"0.002723152456065"	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium"	"-0.111194576900905"
"19"	"PTPN12"	"0.104817850515377"	"Bacteria;Lentisphaerae;[Lentisphaeria]"	"-0.264156012244063"
"20"	"CASK"	"0.0807589990132298"	"Bacteria;Lentisphaerae;[Lentisphaeria];Victivallales;Victivallaceae"	"-0.270430449585896"
"21"	"XIAP"	"0.13730179240663"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"	"-0.0964284833269441"
"22"	"ERMP1"	"0.103462174123194"	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia"	"-0.00488826762863444"
"23"	"TMEM181"	"0.197939545698829"	"Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales"	"-0.168803554895883"
