""	"gene"	"gene_coeff"	"taxa"	"taxa_coeff"
"1"	"DSP"	"0.016615791660013"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae"	"-0.0109095615606142"
"2"	"PABPC1"	"0.0194807834782041"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces"	"-0.049642759555184"
"3"	"RPS4X"	"0.000487976987373996"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae"	"-0.294486939645312"
"4"	"CYP3A5"	"0.0526187944709305"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;dentocariosa"	"-0.012580851308212"
"5"	"PERP"	"0.00957092369467572"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae"	"-0.27841919151468"
"6"	"MACC1"	"0.069972428544594"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus"	"-0.287652543867224"
"7"	"CD164"	"0.0202965128603817"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae]"	"-0.0229942441093113"
"8"	"RPL8"	"0.0359830378644571"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter"	"-0.0743521650498105"
"9"	"GOLM1"	"0.0181920698939818"	"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae"	"-0.111372326619042"
"10"	"PPIA"	"0.0111424165316575"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"0.0320504346567583"
"11"	"ITPR3"	"0.00197131771657236"	"Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae"	"-0.0631184769022578"
"12"	"RPL7A"	"0.000621271479157879"	"Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus"	"-0.112270774005048"
"13"	"SLC44A1"	"0.0873360867361079"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae"	"0.163504128164637"
"14"	"CDK6"	"0.0235110931498918"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"0.157812428215271"
"15"	"ZKSCAN1"	"0.00907841304327718"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae"	"0.0770684126103046"
"16"	"CLIC1"	"0.0502142208760725"	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"0.0772129119086729"
"17"	"TJP2"	"0.0777176435713582"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;SMB53"	"-0.012580851308212"
"18"	"RAB11FIP1"	"0.0513141117867165"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium;citroniae"	"-0.012580851308212"
"19"	"DDR1"	"0.0213450865153356"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;bromii"	"-0.012580851308212"
"20"	"SRPK1"	"0.0274938446776404"	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae"	"0.157742953921474"
"21"	"KDELR2"	"0.0490574929029233"	"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium"	"-0.137103797095349"
"22"	"PDIA4"	"0.07214456674999"	"Bacteria;Lentisphaerae;[Lentisphaeria]"	"-0.265024110771144"
"23"	"COBL"	"0.0324073811793178"	"Bacteria;Lentisphaerae;[Lentisphaeria];Victivallales;Victivallaceae"	"-0.276901684499664"
"24"	"RAC1"	"0.0660955709900393"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium"	"-0.0976611793409309"
"25"	"CD2AP"	"0.075151561284552"	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia"	"-0.031248983907039"
"26"	"HMGA1"	"0.138153681129791"	"Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales"	"-0.152862082296285"
"27"	"KIF13B"	"0.0123909314496712"	"Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio"	"-0.127996255881495"
"28"	"CCT6A"	"0.0453109425776246"	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales"	"-0.0679865732963431"
"29"	"SLC25A5"	"0.0774259146790017"	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae"	"-0.22578195826938"
"30"	"AVL9"	"0.0770240053341483"	"Bacteria;Proteobacteria;Gammaproteobacteria"	"-0.0511714249910728"
"31"	"AHCYL2"	"0.0901050046948251"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;coli"	"-0.0576603097309315"
"32"	"EIF3B"	"0.0251315726533967"	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales"	"-0.177658987888367"
"33"	"FAM135A"	"0.0414951937914572"	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae"	"-0.333209122840173"
"34"	"RPL35"	"0.0251002252263581"	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella"	"-0.351145751656107"
"35"	"SURF4"	"0.00341806378910931"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales"	"-0.119196819862042"
"36"	"NFE2L3"	"0.0379395569386604"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae"	"-0.133476465936204"
"37"	"MAPK13"	"0.0386258314542949"	"Bacteria;TM7"	"-0.13236959930644"
